id,description,code,name,keywords
22036,"12 de Octubre, Chaco",22036,12 de Octubre  ,22036
22126,"1º de Mayo, Chaco",22126,1º de Mayo  ,22126
22039,"2 de Abril, Chaco",22039,2 de Abril  ,22039
6854,"25 de Mayo, Buenos Aires",06854,25 de Mayo  ,06854
22168,"25 de Mayo, Chaco",22168,25 de Mayo  ,22168
54119,"25 de Mayo, Misiones",54119,25 de Mayo  ,54119
62091,"25 de Mayo, Río Negro",62091,25 de Mayo  ,62091
70126,"25 de Mayo, San Juan",70126,25 de Mayo  ,70126
6588,"9 de Julio, Buenos Aires",06588,9 de Julio  ,06588
22105,"9 de Julio, Chaco",22105,9 de Julio  ,22105
62049,"9 de Julio, Río Negro",62049,9 de Julio  ,62049
70063,"9 de Julio, San Juan",70063,9 de Julio  ,70063
82077,"9 de Julio, Santa Fe",82077,9 de Julio  ,82077
6007,"Adolfo Alsina, Buenos Aires",06007,Adolfo Alsina  ,06007
62007,"Adolfo Alsina, Río Negro",62007,Adolfo Alsina  ,62007
6014,"Adolfo Gonzáles Chaves, Buenos Aires",06014,Adolfo Gonzáles Chaves  ,06014
86007,"Aguirre, Santiago del Estero",86007,Aguirre  ,86007
70007,"Albardón, San Juan",70007,Albardón ,70007
86014,"Alberdi, Santiago del Estero",86014,Alberdi  ,86014
6021,"Alberti, Buenos Aires",06021,Alberti  ,06021
6028,"Almirante Brown, Buenos Aires",06028,Almirante Brown,06028
22007,"Almirante Brown, Chaco",22007,Almirante Brown,22007
58007,"Aluminé, Neuquén",58007,Aluminé  ,58007
10007,"Ambato, Catamarca",10007,Ambato,10007
10014,"Ancasti, Catamarca",10014,Ancasti  ,10014
10021,"Andalgalá, Catamarca",10021,Andalgalá,10021
70014,"Angaco, San Juan",70014,Angaco,70014
66007,"Anta, Salta",66007,Anta  ,66007
94028,"Antártida Argentina, Tierra del Fuego",94028,Antártida Argentina  ,94028
10028,"Antofagasta de la Sierra, Catamarca",10028,Antofagasta de la Sierra,10028
58014,"Añelo, Neuquén",58014,Añelo ,58014
54007,"Apóstoles, Misiones",54007,Apóstoles,54007
46007,"Arauco, La Rioja",46007,Arauco,46007
6077,"Arrecifes, Buenos Aires",06077,Arrecifes,06077
86021,"Atamisqui, Santiago del Estero",86021,Atamisqui,86021
42007,"Atreucó, La Pampa",42007,Atreucó  ,42007
6035,"Avellaneda, Buenos Aires",06035,Avellaneda  ,06035
62014,"Avellaneda, Río Negro",62014,Avellaneda  ,62014
86028,"Avellaneda, Santiago del Estero",86028,Avellaneda  ,86028
6042,"Ayacucho, Buenos Aires",06042,Ayacucho ,06042
74007,"Ayacucho, San Luis",74007,Ayacucho ,74007
6049,"Azul, Buenos Aires",06049,Azul  ,06049
6056,"Bahía Blanca, Buenos Aires",06056,Bahía Blanca,06056
6063,"Balcarce, Buenos Aires",06063,Balcarce ,06063
86035,"Banda, Santiago del Estero",86035,Banda ,86035
6070,"Baradero, Buenos Aires",06070,Baradero ,06070
62021,"Bariloche, Río Negro",62021,Bariloche,62021
10035,"Belén, Catamarca",10035,Belén ,10035
74014,"Belgrano, San Luis",74014,Belgrano ,74014
82007,"Belgrano, Santa Fe",82007,Belgrano ,82007
86042,"Belgrano, Santiago del Estero",86042,Belgrano ,86042
18007,"Bella Vista, Corrientes",18007,Bella Vista ,18007
6084,"Benito Juárez, Buenos Aires",06084,Benito Juárez  ,06084
6091,"Berazategui, Buenos Aires",06091,Berazategui ,06091
6098,"Berisso, Buenos Aires",06098,Berisso  ,06098
22014,"Bermejo, Chaco",22014,Bermejo  ,22014
34007,"Bermejo, Formosa",34007,Bermejo  ,34007
18014,"Berón de Astrada, Corrientes",18014,Berón de Astrada  ,18014
26007,"Biedma, Chubut",26007,Biedma,26007
6105,"Bolívar, Buenos Aires",06105,Bolívar  ,06105
6112,"Bragado, Buenos Aires",06112,Bragado  ,06112
6119,"Brandsen, Buenos Aires",06119,Brandsen ,06119
90007,"Burruyacú, Tucumán",90007,Burruyacú,90007
66014,"Cachi, Salta",66014,Cachi ,66014
66021,"Cafayate, Salta",66021,Cafayate ,66021
54014,"Cainguás, Misiones",54014,Cainguás ,54014
14007,"Calamuchita , Córdoba",14007,Calamuchita ,14007
14007,"Calamuchita, Córdoba",14007,Calamuchita ,14007
42014,"Caleu Caleu, La Pampa",42014,Caleu Caleu ,42014
70021,"Calingasta, San Juan",70021,Calingasta  ,70021
6126,"Campana, Buenos Aires",06126,Campana  ,06126
54021,"Candelaria, Misiones",54021,Candelaria  ,54021
6134,"Cañuelas, Buenos Aires",06134,Cañuelas ,06134
10042,"Capayán, Catamarca",10042,Capayán  ,10042
10049,"Capital, Catamarca",10049,Capital  ,10049
14014,"Capital, Córdoba",14014,Capital  ,14014
18021,"Capital, Corrientes",18021,Capital  ,18021
42021,"Capital, La Pampa",42021,Capital  ,42021
46014,"Capital, La Rioja",46014,Capital  ,46014
50007,"Capital, Mendoza",50007,Capital  ,50007
54028,"Capital, Misiones",54028,Capital  ,54028
66028,"Capital, Salta",66028,Capital  ,66028
70028,"Capital, San Juan",70028,Capital  ,70028
86049,"Capital, Santiago del Estero",86049,Capital  ,86049
90084,"Capital, Tucumán",90084,Capital  ,90084
6140,"Capitán Sarmiento, Buenos Aires",06140,Capitán Sarmiento ,06140
6147,"Carlos Casares, Buenos Aires",06147,Carlos Casares ,06147
6154,"Carlos Tejedor, Buenos Aires",06154,Carlos Tejedor ,06154
6161,"Carmen de Areco, Buenos Aires",06161,Carmen de Areco,06161
82014,"Caseros, Santa Fe",82014,Caseros  ,82014
82021,"Castellanos, Santa Fe",82021,Castellanos ,82021
6168,"Castelli, Buenos Aires",06168,Castelli ,06168
46021,"Castro Barros, La Rioja",46021,Castro Barros  ,46021
58021,"Catán Lil, Neuquén",58021,Catán Lil,58021
42028,"Catriló, La Pampa",42028,Catriló  ,42028
70035,"Caucete, San Juan",70035,Caucete  ,70035
66035,"Cerrillos, Salta",66035,Cerrillos,66035
6210,"Chacabuco, Buenos Aires",06210,Chacabuco,06210
22028,"Chacabuco, Chaco",22028,Chacabuco,22028
74028,"Chacabuco, San Luis",74028,Chacabuco,74028
42049,"Chalileo, La Pampa",42049,Chalileo ,42049
46035,"Chamical, La Rioja",46035,Chamical ,46035
42056,"Chapaleufú, La Pampa",42056,Chapaleufú  ,42056
6217,"Chascomús, Buenos Aires",06217,Chascomús,06217
42063,"Chical Co, La Pampa",42063,Chical Co,42063
90021,"Chicligasta, Tucumán",90021,Chicligasta ,90021
66042,"Chicoana, Salta",66042,Chicoana ,66042
46042,"Chilecito, La Rioja",46042,Chilecito,46042
70042,"Chimbas, San Juan",70042,Chimbas  ,70042
6224,"Chivilcoy, Buenos Aires",06224,Chivilcoy,06224
58042,"Chos Malal, Neuquén",58042,Chos Malal  ,58042
86063,"Choya, Santiago del Estero",86063,Choya ,86063
38007,"Cochinoca, Jujuy",38007,Cochinoca,38007
58028,"Collón Curá, Neuquén",58028,Collón Curá ,58028
6175,"Colón, Buenos Aires",06175,Colón ,06175
14021,"Colón, Córdoba",14021,Colón ,14021
30008,"Colón, Entre Ríos",30008,Colón ,30008
22021,"Comandante Fernández, Chaco",22021,Comandante Fernández ,22021
2007,"Comuna N° 1, Ciudad Autónoma de Buenos Aires",02007,Comuna N° 1 ,02007
2007,"Comuna N° 10, Ciudad Autónoma de Buenos Aires",02007,Comuna N° 10,02007
2077,"Comuna N° 11, Ciudad Autónoma de Buenos Aires",02077,Comuna N° 11,02077
2084,"Comuna N° 12, Ciudad Autónoma de Buenos Aires",02084,Comuna N° 12,02084
2091,"Comuna N° 13, Ciudad Autónoma de Buenos Aires",02091,Comuna N° 13,02091
2098,"Comuna N° 14, Ciudad Autónoma de Buenos Aires",02098,Comuna N° 14,02098
2105,"Comuna N° 15, Ciudad Autónoma de Buenos Aires",02105,Comuna N° 15,02105
2014,"Comuna N° 2, Ciudad Autónoma de Buenos Aires",02014,Comuna N° 2 ,02014
2021,"Comuna N° 3, Ciudad Autónoma de Buenos Aires",02021,Comuna N° 3 ,02021
2028,"Comuna N° 4, Ciudad Autónoma de Buenos Aires",02028,Comuna N° 4 ,02028
2035,"Comuna N° 5, Ciudad Autónoma de Buenos Aires",02035,Comuna N° 5 ,02035
2042,"Comuna N° 6, Ciudad Autónoma de Buenos Aires",02042,Comuna N° 6 ,02042
2049,"Comuna N° 7, Ciudad Autónoma de Buenos Aires",02049,Comuna N° 7 ,02049
2056,"Comuna N° 8, Ciudad Autónoma de Buenos Aires",02056,Comuna N° 8 ,02056
2063,"Comuna N° 9, Ciudad Autónoma de Buenos Aires",02063,Comuna N° 9 ,02063
18028,"Concepción, Corrientes",18028,Concepción  ,18028
54035,"Concepción, Misiones",54035,Concepción  ,54035
30015,"Concordia, Entre Ríos",30015,Concordia,30015
62028,"Conesa, Río Negro",62028,Conesa,62028
58035,"Confluencia, Neuquén",58035,Confluencia ,58035
42035,"Conhelo, La Pampa",42035,Conhelo  ,42035
82028,"Constitución, Santa Fe",82028,Constitución,82028
86056,"Copo, Santiago del Estero",86056,Copo  ,86056
6182,"Coronel de Marina Leonardo Rosales, Buenos Aires",06182,Coronel de Marina Leonardo Rosales  ,06182
6189,"Coronel Dorrego, Buenos Aires",06189,Coronel Dorrego,06189
46028,"Coronel Felipe Varela, La Rioja",46028,Coronel Felipe Varela,46028
6196,"Coronel Pringles, Buenos Aires",06196,Coronel Pringles  ,06196
74021,"Coronel Pringles, San Luis",74021,Coronel Pringles  ,74021
6203,"Coronel Suárez, Buenos Aires",06203,Coronel Suárez ,06203
78007,"Corpen Aike, Santa Cruz",78007,Corpen Aike ,78007
90014,"Cruz Alta, Tucumán",90014,Cruz Alta,90014
14028,"Cruz del Eje, Córdoba",14028,Cruz del Eje,14028
42042,"Curacó, La Pampa",42042,Curacó,42042
18035,"Curuzú Cuatiá, Corrientes",18035,Curuzú Cuatiá  ,18035
26014,"Cushamen, Chubut",26014,Cushamen ,26014
6231,"Daireaux, Buenos Aires",06231,Daireaux ,06231
78014,"Deseado, Santa Cruz",78014,Deseado  ,78014
30021,"Diamante, Entre Ríos",30021,Diamante ,30021
6238,"Dolores, Buenos Aires",06238,Dolores  ,06238
38021,"Dr. Manuel Belgrano, Jujuy",38021,Dr. Manuel Belgrano  ,38021
10056,"El Alto, Catamarca",10056,El Alto  ,10056
38014,"El Carmen, Jujuy",38014,El Carmen,38014
62035,"El Cuy, Río Negro",62035,El Cuy,62035
54042,"Eldorado, Misiones",54042,Eldorado ,54042
18042,"Empedrado, Corrientes",18042,Empedrado,18042
6245,"Ensenada, Buenos Aires",06245,Ensenada ,06245
26021,"Escalante, Chubut",26021,Escalante,26021
6252,"Escobar, Buenos Aires",06252,Escobar  ,06252
18049,"Esquina, Corrientes",18049,Esquina  ,18049
6260,"Esteban Echeverría, Buenos Aires",06260,Esteban Echeverría,06260
6266,"Exaltación de la Cruz, Buenos Aires",06266,Exaltación de la Cruz,06266
6270,"Ezeiza, Buenos Aires",06270,Ezeiza,06270
90028,"Famaillá, Tucumán",90028,Famaillá ,90028
46049,"Famatina, La Rioja",46049,Famatina ,46049
30028,"Federación, Entre Ríos",30028,Federación  ,30028
30035,"Federal, Entre Ríos",30035,Federal  ,30035
30042,"Feliciano, Entre Ríos",30042,Feliciano,30042
86070,"Figueroa, Santiago del Estero",86070,Figueroa ,86070
6274,"Florencio Varela, Buenos Aires",06274,Florencio Varela  ,06274
6277,"Florentino Ameghino, Buenos Aires",06277,Florentino Ameghino  ,06277
26028,"Florentino Ameghino, Chubut",26028,Florentino Ameghino  ,26028
34014,"Formosa, Formosa",34014,Formosa  ,34014
22043,"Fray Justo Santa María de Oro, Chaco",22043,Fray Justo Santa María de Oro ,22043
10063,"Fray Mamerto Esquiú, Catamarca",10063,Fray Mamerto Esquiú  ,10063
26035,"Futaleufú, Chubut",26035,Futaleufú,26035
26042,"Gaiman, Chubut",26042,Gaiman,26042
82035,"Garay, Santa Fe",82035,Garay ,82035
26049,"Gastre, Chubut",26049,Gastre,26049
6280,"General Alvarado, Buenos Aires",06280,General Alvarado  ,06280
6287,"General Alvear, Buenos Aires",06287,General Alvear ,06287
18056,"General Alvear, Corrientes",18056,General Alvear ,18056
50014,"General Alvear, Mendoza",50014,General Alvear ,50014
46056,"General Ángel Vicente Peñaloza, La Rioja",46056,General Ángel Vicente Peñaloza,46056
6294,"General Arenales, Buenos Aires",06294,General Arenales  ,06294
6301,"General Belgrano, Buenos Aires",06301,General Belgrano  ,06301
22049,"General Belgrano, Chaco",22049,General Belgrano  ,22049
46063,"General Belgrano, La Rioja",46063,General Belgrano  ,46063
22056,"General Donovan, Chaco",22056,General Donovan,22056
22063,"General Güemes, Chaco",22063,General Güemes ,22063
66049,"General Güemes, Salta",66049,General Güemes ,66049
6308,"General Guido, Buenos Aires",06308,General Guido  ,06308
66056,"General José de San Martín, Salta",66056,General José de San Martín ,66056
46070,"General Juan Facundo Quiroga, La Rioja",46070,General Juan Facundo Quiroga  ,46070
6315,"General Juan Madariaga, Buenos Aires",06315,General Juan Madariaga  ,06315
6322,"General La Madrid, Buenos Aires",06322,General La Madrid ,06322
46077,"General Lamadrid, La Rioja",46077,General Lamadrid  ,46077
6329,"General Las Heras, Buenos Aires",06329,General Las Heras ,06329
6336,"General Lavalle, Buenos Aires",06336,General Lavalle,06336
82042,"General López, Santa Fe",82042,General López  ,82042
54049,"General Manuel Belgrano, Misiones",54049,General Manuel Belgrano ,54049
82049,"General Obligado, Santa Fe",82049,General Obligado  ,82049
46084,"General Ocampo, La Rioja",46084,General Ocampo ,46084
6343,"General Paz, Buenos Aires",06343,General Paz ,06343
18063,"General Paz, Corrientes",18063,General Paz ,18063
74035,"General Pedernera, San Luis",74035,General Pedernera ,74035
6351,"General Pinto, Buenos Aires",06351,General Pinto  ,06351
6357,"General Pueyrredon, Buenos Aires",06357,General Pueyrredon,06357
14035,"General Roca, Córdoba",14035,General Roca,14035
62042,"General Roca, Río Negro",62042,General Roca,62042
6364,"General Rodríguez, Buenos Aires",06364,General Rodríguez ,06364
6371,"General San Martín, Buenos Aires",06371,General San Martín,06371
14042,"General San Martín, Córdoba",14042,General San Martín,14042
46091,"General San Martín, La Rioja",46091,General San Martín,46091
86077,"General Taboada, Santiago del Estero",86077,General Taboada,86077
6385,"General Viamonte, Buenos Aires",06385,General Viamonte  ,06385
6392,"General Villegas, Buenos Aires",06392,General Villegas  ,06392
74042,"Gobernador Dupuy, San Luis",74042,Gobernador Dupuy  ,74042
50021,"Godoy Cruz, Mendoza",50021,Godoy Cruz  ,50021
18070,"Goya, Corrientes",18070,Goya  ,18070
90035,"Graneros, Tucumán",90035,Graneros ,90035
66063,"Guachipas, Salta",66063,Guachipas,66063
30049,"Gualeguay, Entre Ríos",30049,Gualeguay,30049
30056,"Gualeguaychú, Entre Ríos",30056,Gualeguaychú,30056
6399,"Guaminí, Buenos Aires",06399,Guaminí  ,06399
54056,"Guaraní, Misiones",54056,Guaraní  ,54056
86084,"Guasayán, Santiago del Estero",86084,Guasayán ,86084
42070,"Guatraché, La Pampa",42070,Guatraché,42070
50028,"Guaymallén, Mendoza",50028,Guaymallén  ,50028
78021,"Güer Aike, Santa Cruz",78021,Güer Aike,78021
